name,params,epochs,batch_size,train_loss,val_loss,f1_macro,precision,recall,f1_attack,time
narrow_100ep,21302,100,256,0.048064,0.07155,0.8055,0.5896,0.6835,0.6331,535.3
deeper_50ep,40390,50,256,0.065825,0.049137,0.7985,0.6102,0.6267,0.6184,321.0
wide_100ep,54478,100,256,0.006808,0.004804,0.7919,0.5685,0.6518,0.6073,751.4
deeper_100ep_bs512,40390,100,512,0.053403,0.047874,0.7897,0.5461,0.6756,0.604,646.9
wide_50ep,54478,50,256,0.00893,0.009995,0.785,0.5767,0.6108,0.5932,364.2
deeper_100ep_bs128,40390,100,128,0.059264,0.043961,0.7848,0.6326,0.5542,0.5908,1150.4
narrow_50ep,21302,50,256,0.051393,0.061448,0.7723,0.5803,0.5563,0.568,261.3
deeper_100ep,40390,100,256,0.055167,0.048222,0.7722,0.6401,0.507,0.5658,624.2
basic_50ep,11359,50,256,0.016832,0.024365,0.7474,0.5893,0.4628,0.5185,114.7
basic_100ep,11359,100,256,0.015054,0.022911,0.7264,0.4271,0.5638,0.486,370.8
