nu,gamma,f1_macro,precision,recall,f1_attack,time
0.001,0.005,0.8084,0.6716,0.6037,0.6358,4.1
0.005,0.005,0.8083,0.6712,0.6037,0.6357,8.1
0.02,auto,0.8079,0.6614,0.6112,0.6353,30.6
0.05,auto,0.8077,0.6624,0.6093,0.6347,89.7
0.02,scale,0.8077,0.6617,0.6099,0.6347,29.5
0.05,scale,0.8077,0.6633,0.6084,0.6347,89.1
0.01,auto,0.8076,0.6682,0.6037,0.6344,14.8
0.01,0.005,0.8073,0.6665,0.6042,0.6338,13.1
0.005,auto,0.8072,0.6646,0.6057,0.6337,9.7
0.01,scale,0.8072,0.6682,0.6025,0.6337,14.7
0.001,auto,0.8071,0.6675,0.6029,0.6335,7.1
0.1,0.01,0.8071,0.6618,0.6078,0.6336,171.1
0.05,0.005,0.807,0.6642,0.6054,0.6335,84.1
0.005,scale,0.8068,0.664,0.6046,0.6329,9.2
0.001,scale,0.8067,0.6671,0.6018,0.6328,8.7
0.02,0.005,0.8063,0.6551,0.611,0.6323,27.2
0.1,scale,0.806,0.6641,0.6018,0.6314,188.8
0.1,auto,0.8052,0.6653,0.598,0.6299,192.3
0.01,0.01,0.8039,0.6465,0.6101,0.6278,13.6
0.02,0.01,0.8034,0.6433,0.6112,0.6268,30.9
0.001,0.01,0.8032,0.6442,0.6097,0.6265,5.3
0.05,0.01,0.8032,0.646,0.6082,0.6265,90.8
0.005,0.01,0.8026,0.6413,0.6103,0.6254,9.0
0.1,0.005,0.8015,0.6553,0.5933,0.6228,176.5
0.05,0.001,0.7918,0.6351,0.5767,0.6045,88.0
0.1,0.001,0.788,0.6111,0.585,0.5978,181.6
0.02,0.001,0.7857,0.6158,0.5719,0.593,30.7
0.01,0.001,0.7805,0.5976,0.5702,0.5836,13.3
0.005,0.001,0.7658,0.5988,0.5162,0.5544,10.8
0.001,0.001,0.7622,0.6782,0.456,0.5453,3.6
